"Story","Title","Result","Date","Stability","Duration (s)"
"Adding new profanity string and updating input text with replacement text","Filtering profanity for valid texts after adding new valid profanity string","SUCCESS","2021-07-18T21:27:19.782Z[Etc/UTC]","0.0","4.17"
"Adding new profanity string and updating input text with replacement text","Filtering profanity for valid texts after adding new invalid profanity string","SUCCESS","2021-07-18T21:27:23.953Z[Etc/UTC]","0.0","0.48"
"Checking profanity content in a given text","Checking profanity content in a given text","SUCCESS","2021-07-18T21:27:24.486Z[Etc/UTC]","0.0","0.47"
"Filtering profanity for a given text","Filtering profanity for valid texts and providing results in multiple formats","SUCCESS","2021-07-18T21:27:24.98Z[Etc/UTC]","0.0","0.52"
"Filtering profanity for a given text","Filtering profanity for invalid texts and providing results in multiple formats","SUCCESS","2021-07-18T21:27:25.502Z[Etc/UTC]","0.0","0.42"
